token_ort,token_ipa
evacuated,iˈvækjəˌweɪtɪd
evacuated,ɪˈvækjəˌweɪtɪd
evacuating,iˈvækjəˌweɪtɪŋ
evacuating,ɪˈvækjəˌweɪtɪŋ
evacuation,iˈvækjəˈweɪʃən
evacuation,ɪˌvækjəˈweɪʃən
evacuations,iˈvækjəˈweɪʃənz
evacuations,ɪˌvækjəˈweɪʃənz
evacuee,iˈvækjui
evacuee,ɪˈvækjui
evacuees,iˈvækjuiz
evacuees,ɪˈvækjuiz
evade,iˈveɪd
evade,ɪˈveɪd
evaded,iˈveɪdɪd
evaded,ɪˈveɪdɪd
evader,iˈveɪdɝ
evader,ɪˈveɪdɝ
evaders,iˈveɪdɝz
evaders,ɪˈveɪdɝz
evades,iˈveɪdz
evades,ɪˈveɪdz
evading,iˈveɪdɪŋ
evading,ɪˈveɪdɪŋ
evadne,ɪˈvɛdni
evald,ɛvəɫd
evald,iˌvɑɫd
evaleen,ɛvəˌɫin
evaluate,iˈvæɫjuˌeɪt
evaluate,ɪˈvæɫjuˌeɪt
evaluated,iˈvæɫjuˌeɪtəd
evaluated,ɪˈvæɫjuˌeɪtəd
evaluates,iˈvæɫjuˌeɪts
evaluates,ɪˈvæɫjuˌeɪts
evaluating,iˈvæɫjuˌeɪtɪŋ
evaluating,ɪˈvæɫjuˌeɪtɪŋ
evaluation,iˌvæɫjuˈeɪʃən
evaluation,ɪˌvæɫjuˈeɪʃən
evaluations,iˌvæɫjuˈeɪʃənz
evaluations,ɪˌvæɫjuˈeɪʃənz
evan,ɛvən
evancho,ɛˈvɑnkoʊ
evander,ˌiˈvændɝ
evandro,ˌɛˈvɑdɹoʊ
evandro,ˌiˈvædɹoʊ
evanescence,ˌɛvəˈnɛsəns
evanescent,ˌɛvəˈnɛsənt
evangelical,ˌivænˈdʒɛɫɪkəɫ
evangelicals,ˌiˌvænˈdʒɛɫɪkəɫz
evangeline,ɪˈvændʒɪˌɫaɪn
evangelism,iˈvændʒəˌɫɪzəm
evangelism,ɪˈvændʒəˌɫɪzəm
evangelist,iˈvændʒəɫɪst
evangelist,ɪˈvændʒəɫɪst
evangelista,ɛvɑŋɡɛˈɫistə
evangelistic,iˈvændʒəɫɪstɪk
evangelists,iˈvændʒəɫɪs
evangelists,iˈvændʒəɫɪsts
evangelists,ɪˈvændʒəɫɪs
evangelists,ɪˈvændʒəɫɪsts
evangelize,iˈvændʒəˌɫaɪz
evangelize,ɪˈvændʒəˌɫaɪz
evangi,ɪˈvændʒi
evanko,ɪˈvæŋkoʊ
evanoff,ɛvəˌnɔf
evanov,ɛvəˌnɔv
evans,ɛvənz
evans',ɛvənz
evans's,ɛvənzɪz
evanson,ɛvənsən
evanston,ɛvənstən
evansville,ɛvənzˌvɪɫ
evaporate,ɪˈvæpɝˌeɪt
evaporated,iˈvæpɝˌeɪtəd
evaporated,iˈvæpɝˌeɪtɪd
evaporated,ɪˈvæpɝˌeɪtəd
evaporated,ɪˈvæpɝˌeɪtɪd
evaporates,iˈvæpɝˌeɪts
evaporates,ɪˈvæpɝˌeɪts
evaporating,iˈvæpɝˌeɪtɪŋ
evaporating,ɪˈvæpɝˌeɪtɪŋ
evaporation,iˌvæpɝˈeɪʃən
evaporation,ɪˌvæpɝˈeɪʃən
evaporator,iˈvæpɝˌeɪtɝ
evaporator,ɪˈvæpɝˌeɪtɝ
evarts,ɛvɝts
evasion,iˈveɪʒən
evasion,ɪˈveɪʒən
evasions,iˈveɪʒənz
evasions,ɪˈveɪʒənz
evasive,iˈveɪzɪv
evasive,ɪˈveɪzɪv
evatt,ɛvət
eve,iv
evel,ɛvəɫ
eveland,ivɫənd
eveleth,ɛvɪɫɪθ
evelina,ˌɛvɛˈɫinə
eveline,ɛvəɫɪn
evelyn,ɛvəɫən
evelyn,ɛvəɫɪn
even,ivɪn
evendale,ɛvənˌdeɪɫ
evened,ivənd
evenhanded,ivənˈhændɪd
evenhandedly,ɛvənˌhændɪdɫi
evening,ivnɪŋ
evening's,ivnɪŋz
evenings,ivnɪŋz
evenly,ivənɫi
evenness,ivənnəs
evens,ivənz
evensen,ɛvɪnsən
evensky,ˌiˈvɛnski
evenson,ɛvɪnsən
event,iˈvɛnt
event,ɪˈvɛnt
event's,iˈvɛnts
event's,ɪˈvɛnts
eventful,iˈvɛntfəɫ
eventful,ɪˈvɛntfəɫ
events,iˈvɛnts
events,ɪˈvɛnts
eventual,əˈvɛntʃuəɫ
eventual,iˈvɛntʃuəɫ
eventuality,əˌvɛntʃuˈæɫɪti
eventuality,iˌvɛntʃuˈæɫɪti
eventually,iˈvɛnʃəɫi
eventually,iˈvɛntʃəwəɫi
eventually,ɪˈvɛnʃəɫi
eventually,ɪˈvɛntʃəwəɫi
ever,ɛvɝ
everage,ɛvɝɪdʒ
everard,ɛvɝɝd
everbach,ɛvɝˌbɑk
everding,ɛvɝdɪŋ
eveready,ɛvɝˌɹɛdi
evered,ɛvɝd
everest,ɛvɝəst
everest,ɛvɹəst
everest's,ɛvɝəsts
everest's,ɛvɹəsts
everett,ɛvɝət
everett,ɛvɹət
everette,ɛvɝˈɛt
everetts,ɛvɝəts
everetts,ɛvɹəts
everex,ɛvɝəks
everglades,ɛvɝˌɡɫeɪdz
everglades',ɛvɝˌɡɫeɪdz
evergood,ɛvɝˌɡʊd
evergreen,ɛvɝˌɡɹin
evergreens,ɛvɝˌɡɹinz
everhardt,ɛvɝˌhɑɹt
everhart,ɛvɝˌhɑɹt
everidge,ɛvɝˌɪdʒ
everingham,ɛvɝɪŋˌhæm
everington,ɛvɝˌɪŋtən
everitt,ɛvɝɪt
everlast,ˌɛvɝˈɫæst
everlasting,ˌɛvɝˈɫæstɪŋ
everlastings,ˌɛvɝˈɫæstɪŋz
everley,ɛvɝɫi
everling,ɛvɝɫɪŋ
everly,ɛvɝɫi
everman,ɛvɝmən
evermore,ɛvɝˌmɔɹ
evers,ɛvɝz
evers',ɛvɝz
eversman,ɛvɝsmən
eversole,ɛvɝˌsoʊɫ
everson,ɛvɝsən
evert,ɪˈvɝt
everton,ɛvɝtən
everts,ɛvɝts
every,ɛvɝi
every,ɛvɹi
everybody,ɛvɹiˌbɑdi
everybody'd,ɛvɹiˌbɑdid
everybody's,ɛvɹiˌbɑdiz
everyday,ɛvɹiˈdeɪ
everyman,ɛvɹimən
everyman's,ɛvɹimənz
everyone,ɛvɹiˌwən
everyone's,ɛvɹiˌwənz
everyplace,ɛvɹiˌpɫeɪs
everything,ɛvɹiˌθɪŋ
everything's,ɛvɹiˌθɪŋz
everythings,ɛvɹiˌθɪŋz
everytime,ɛvɹiˌtaɪm
everywhere,ɛvɹiˌwɛɹ
everywhere,ɛvɹihˌwɛɹ
eves,ivz
evett,ɛvɪt
evetts,ɛvɪts
evian,ɛviən
evict,ɪˈvɪkt
evicted,ɪˈvɪktɪd
evicting,ɪˈvɪktɪŋ
eviction,ɪˈvɪkʃən
evictions,ɪˈvɪkʃənz
evidence,ɛvədəns
evidenced,ɛvɪdənst
evidences,ɛvədənsəz
evident,ɛvədənt
evidentiary,ˌɛvɪˈdɛnʃiɛɹi
evidentiary,ˌɛvɪˈdɛntʃiɛɹi
evidently,ɛvədəntɫi
evil,ivəɫ
evildoer,ivəɫˌduɝ
evildoers,ivəɫˌduɝz
evils,ivəɫz
evilsizer,ivəɫˌsaɪzɝ
evilsizor,ivəɫˌsaɪzɝ
evin,ɛvɪn
evince,ɪˈvɪns
evinced,ɪˈvɪnst
evinger,ivɪŋɝ
evins,ɛvɪnz
eviscerate,əˈvɪsɝˌeɪt
eviscerated,əˈvɪsɝˌeɪtɪd
evita,ɛˈvitə
evitt,ɛvɪt
evitts,ɛvɪts
evjen,ɛvdʒən
evlyn,ɛvɫən
evocation,ˌivoʊˈkeɪʃən
evocative,ɪˈvɑkətɪv
evoke,iˈvoʊk
evoke,ɪˈvoʊk
evoked,iˈvoʊkt
evoked,ɪˈvoʊkt
evokes,iˈvoʊks
evokes,ɪˈvoʊks
evoking,iˈvoʊkɪŋ
evoking,ɪˈvoʊkɪŋ
evola,ɛˈvoʊɫə
evolution,ˌɛvəˈɫuʃən
evolution,ˌɛvoʊˈɫuʃən
evolution,ˌivəˈɫuʃən
evolution,ˌivoʊˈɫuʃən
evolutionary,ˌɛvəˈɫuʃəˌnɛɹi
evolutionary,ˌɛvoʊˈɫuʃəˌnɛɹi
evolutionary,ˌivəˈɫuʃəˌnɛɹi
evolutionary,ˌivoʊˈɫuʃəˌnɛɹi
evolve,iˈvɑɫv
evolve,ɪˈvɑɫv
evolved,iˈvɑɫvd
evolved,ɪˈvɑɫvd
evolves,iˈvɑɫvz
evolves,ɪˈvɑɫvz
evolving,iˈvɑɫvɪŋ
evolving,ɪˈvɑɫvɪŋ
evon,ɛvən
evonne,ˌɛˈvɑn
evrard,ɛvɹɝd
evren,ɛvɹən
ewald,juəɫd
ewalt,juəɫt
ewan,juən
ewart,juɝt
ewbal,jubɑɫ
ewbank,jubəŋk
ewe,ju
ewell,juəɫ
ewen,juən
ewer,juɝ
ewers,juɝz
ewert,juɝt
ewes,juz
ewig,juɪɡ
ewing,juɪŋ
ewing's,juɪŋz
ewings,juɪŋz
ewoldt,juoʊɫt
ewong,juɔŋ
eworld,iˌwɝɫd
ewton,jutən
ewy,jui
ex,ɛks
ex-boyfriend,ɛksˈbɔɪˌfɹɛnd
ex-boyfriends,ɛksˈbɔɪˌfɹɛndz
ex-fighter,ɛksˈfaɪtɝ
ex-girlfriend,ɛkzˈɡɝɫˌfɹɛnd
ex-girlfriends,ɛkzˈɡɝɫˌfɹɛndz
ex-husband,ɛksˈhəzbənd
ex-husbands,ɛksˈhəzbəndz
ex-voto,ɛksˈvoʊˈtoʊ
ex-wife,ɛkˈswaɪf
ex-wives,ɛkˈswaɪvz
exabyte,ɛksəˌbaɪt
exacerbate,ɪɡˈzæsɝˌbeɪt
exacerbated,ɪɡˈzæsɝˌbeɪtəd
exacerbated,ɪɡˈzæsɝˌbeɪtɪd
exacerbates,ɪɡˈzæsɝˌbeɪts
exacerbating,ɪɡˈzæsɝˌbeɪtɪŋ
exacerbation,ɪɡˌzæsɝˈbeɪʃən
exacerbations,ɪɡˌzæsɝˈbeɪʃənz
exact,ɪɡˈzækt
exacted,ɪɡˈzæktɪd
exacting,ɪɡˈzæktɪŋ
exaction,ɪɡˈzækʃən
exactions,ɪɡˈzækʃənz
exactitude,ɪɡˈzæktəˌtud
exactly,ɪɡˈzæktɫi
exactly's,ɪɡˈzæktɫiz
exacts,ɪɡˈzækts
exaggerate,ɪɡˈzædʒɝˌeɪt
exaggerated,ɪɡˈzædʒɝˌeɪtəd
exaggerated,ɪɡˈzædʒɝˌeɪtɪd
exaggerates,ɪɡˈzædʒɝˌeɪts
exaggerating,ɪɡˈzædʒɝˌeɪtɪŋ
exaggeration,ɪɡˌzædʒɝˈeɪʃən
exaggerations,ɪɡˌzædʒɝˈeɪʃənz
exalt,ɪɡˈzɔɫt
exalted,ɪɡˈzɔɫtɪd
exalting,ɪɡˈzɔɫtɪŋ
exalts,ɪɡˈzɔɫts
exam,ɪɡˈzæm
examination,ɪɡˌzæməˈneɪʃən
examinations,ɪɡˌzæməˈneɪʃənz
examine,ɪɡˈzæmɪn
examined,ɪɡˈzæmənd
examiner,ɪɡˈzæmənɝ
examiner's,ɛɡˈzæmənɝz
examiners,ɪɡˈzæmɪnɝz
examiners',ɪɡˈzæmɪnɝz
examines,ɪɡˈzæmənz
examining,ɪɡˈzæmɪnɪŋ
example,ɪɡˈzæmpəɫ
examples,ɪɡˈzæmpəɫz
exams,ɪɡˈzæmz
exar,ɛksɝ
exasperate,ɪɡˈzæspɝˌeɪt
exasperated,ɪɡˈzæspɝˌeɪtɪd
exasperating,ɪɡˈzæspɝˌeɪtɪŋ
exasperation,ˌɛkˌsæspɝˈeɪʃən
exboyfriend,ˌɛksˈbɔɪˌfɹɛnd
exbroker,ɛksˈbɹoʊkɝ
exbroker's,ɛksˈbɹoʊkɝz
exbrokers,ɛksˈbɹoʊkɝz
excalibur,ˌɛkˈskæɫəbɝ
excavate,ɛkskəˌveɪt
excavated,ɛkskəˌveɪtɪd
excavating,ɛkskəˌveɪtɪŋ
excavation,ˌɛkskəˈveɪʃən
excavations,ˌɛkskəˈveɪʃənz
excavator,ɛkskəˌveɪtɝ
excavators,ɛkskəˌveɪtɝz
excedrin,ɛkˈsɛdɹən
exceed,ɪkˈsid
exceeded,ɪkˈsidəd
exceeded,ɪkˈsidɪd
exceeding,ɪkˈsidɪŋ
exceedingly,ɪkˈsidɪŋɫi
exceeds,ɪkˈsidz
excel,ɪkˈsɛɫ
excel's,ɪkˈsɛɫz
excelan,ˌɛkˈsɛɫən
excelled,ɪkˈsɛɫd
excellence,ɛksəɫəns
excellencies,ɛkˈsɫɛnsiz
excellency,ɛkˈsɫɛnsi
excellent,ɛksəɫənt
excellently,ɛksəɫəntɫi
excelling,ɛkˈsɛɫɪŋ
excels,ɪkˈsɛɫz
excelsior,ɪkˈsɛɫsiɝ
except,ɪkˈsɛpt
excepted,ɪkˈsɛptɪd
excepting,ˌɛkˈsɛptɪŋ
exception,ɪkˈsɛpʃən
exceptional,ɪkˈsɛpʃənəɫ
exceptionally,ɪkˈsɛpʃənəɫi
exceptionally,ɪkˈsɛpʃnəɫi
exceptions,ɪkˈsɛpʃənz
excerpt,ɛksɝpt
excerpt,ɛkˈsɝpt
excerpted,ˌɛkˈsɝptɪd
excerpts,ɛksɝpts
excerpts,ɛkˈsɝpts
excess,ɛkˌsɛs
excess,ɪkˈsɛs
excesses,ˌɛkˈsɛsɪz
excesses,ɪkˈsɛsɪz
excessive,ɪkˈsɛsɪv
excessively,ɪkˈsɛsɪvɫi
exchange,ɪksˈtʃeɪndʒ
exchange's,ɪksˈtʃeɪndʒɪz
exchangeable,ɪksˈtʃeɪndʒəbəɫ
exchanged,ɪksˈtʃeɪndʒd
exchanger,ɪksˈtʃeɪndʒɝ
exchangers,ɪksˈtʃeɪndʒɝz
exchanges,ɪksˈtʃeɪndʒəz
exchanges,ɪksˈtʃeɪndʒɪz
exchanges',ɛksˈtʃeɪndʒɪz
exchanging,ɪksˈtʃeɪndʒɪŋ
exchequer,ɛksˌtʃɛkɝ
excimer,ˌɛkˈsɪmɝ
excise,ɛksaɪz
excise,ɛkˈsaɪs
excised,ɛkˌsaɪzd
excises,ɛkˌsaɪzɪz
excision,ɪkˈsɪʒən
excitable,ɪkˈsaɪtəbəɫ
excitation,ˌɛksaɪˈteɪʃən
excite,ɪkˈsaɪt
excited,ɪkˈsaɪtəd
excited,ɪkˈsaɪtɪd
excitedly,ɪkˈsaɪtədɫi
excitement,ɪkˈsaɪtmənt
excites,ɪkˈsaɪts
exciting,ɪkˈsaɪtɪŋ
exclaim,ɪkˈskɫeɪm
exclaimed,ɪkˈskɫeɪmd
exclaiming,ɪkˈskɫeɪmɪŋ
exclaims,ɪkˈskɫeɪmz
exclamation,ˌɛkskɫəˈmeɪʃən
exclamation-point,ˌɛkskɫəˈmeɪʃənˈpɔɪnt
exclamations,ˌɛkskɫəˈmeɪʃənz
excludable,ɪkˈskɫudəbəɫ
exclude,ɪkˈskɫud
excluded,ɪkˈskɫudəd
excluded,ɪkˈskɫudɪd
excludes,ɪkˈskɫudz
excluding,ɪkˈskɫudɪŋ
exclusion,ɪkˈskɫuʒən
exclusionary,ɪkˈskɫuʒəˌnɛɹi
exclusions,ɪkˈskɫuʒənz
exclusive,ɪkˈskɫusɪv
exclusively,ɪkˈskɫusɪvɫi
exclusives,ɪkˈskɫusɪvz
exclusivity,ˌɛkˌskɫuˈsɪvəti
exco,ɛkskoʊ
excoa,ˌɛkˈskoʊə
excommunicate,ˌɛkskəmˈjunəˌkeɪt
excommunicated,ˌɛkskəmˈjunəˌkeɪtəd
excommunication,ˌɛkskəmˌjunəˈkeɪʃən
excoriate,ɛkˈskɔɹiˌeɪt
excoriated,ɛkˈskɔɹiˌeɪtɪd
excoriating,ɛkˈskɔɹiˌeɪtɪŋ
excoriation,ɛkˈskɔɹiˌeɪʃən
excrement,ɛkskɹəmənt
excrete,ɪksˈkɹit
excreted,ɪksˈkɹitɪd
excretes,ɪksˈkɹitz
excretion,ɪksˈkɹiʃən
excretory,ɛkskɹəˌtɔɹi
excruciating,ɪksˈkɹuʃiˌeɪtɪŋ
excruciatingly,ˌɛksˈkɹusiˌeɪtɪŋɫi
exculpate,ˌɛkˈskəɫpeɪt
exculpatory,ˌɛkˈskəɫpəˌtɔɹi
excursion,ɪkˈskɝʒən
excursions,ɪkˈskɝʒənz
excusable,ɪkˈskjuzəbəɫ
excuse,ɪkˈskjus
excuse,ɪkˈskjuz
excused,ɪkˈskjuzd
excuses,ɪkˈskjusɪz
excuses,ɪkˈskjuzɪz
excusing,ɪkˈskjuzɪŋ
exec,ˌɛɡˈzɛk
execrable,ˌɛɡˈzɛkɹəbəɫ
execs,ˌɛɡˈzɛks
execute,ɛksəkˌjut
executed,ɛksəkˌjutɪd
executes,ɛksəkˌjuts
executing,ɛksəkˌjutɪŋ
execution,ˌɛksəkˈjuʃən
executioner,ˌɛksəkˈjuʃənɝ
executioner's,ˌɛksəkˈjuʃənɝz
executioners,ˌɛksəkˈjuʃənɝz
executions,ˌɛksəkˈjuʃənz
executive,ɪɡˈzɛkjətɪv
executive's,ɛɡˈzɛkjətɪvz
executives,ɪɡˈzɛkjətɪvz
executives',ɛɡˈzɛkjətɪvz
executone,ˌɛɡˈzɛkjuˌtoʊn
executor,ɪɡˈzɛkjətɝ
executors,ɪɡˈzɛkjətɝz
exel,ɛksəɫ
exemplar,ɪɡˈzɛmpɫɑɹ
exemplars,ɪɡˈzɛmpɫɑɹz
exemplary,ɪɡˈzɛmpɫɝi
exemplified,ɪɡˈzɛmpɫəˌfaɪd
exemplifies,ɪɡˈzɛmpɫəˌfaɪz
exemplify,ɪɡˈzɛmpɫəˌfaɪ
exemplifying,ɪɡˈzɛmpɫəˌfaɪɪŋ
exemplum,ɪɡˈzɛmpɫəm
exempt,ɪɡˈzɛmpt
exempted,ɪɡˈzɛmptɪd
exempting,ɪɡˈzɛmptɪŋ
exemption,ɪɡˈzɛmpʃən
exemption,ɪɡˈzɛmʃən
exemptions,ɪɡˈzɛmpʃənz
exemptions,ɪɡˈzɛmʃənz
exempts,ɪɡˈzɛmpts
exercisable,ɛksɝˌsaɪzəbəɫ
exercise,ɛksɝˌsaɪz
exercised,ɛksɝˌsaɪzd
exerciser,ɛksɝˌsaɪzɝ
exercisers,ɛksɝˌsaɪzɝz
exercises,ɛksɝˌsaɪzəz
exercises,ɛksɝˌsaɪzɪz
exercising,ɛksɝˌsaɪzɪŋ
exert,ɪɡˈzɝt
exerted,ɪɡˈzɝtɪd
exerting,ɪɡˈzɝtɪŋ
exertion,ɪɡˈzɝʃən
exertions,ɪɡˈzɝʃənz
exerts,ɪɡˈzɝts
exes,ɛksɪz
exeter,ɛksɪtɝ
exfoliate,ɛksˈfoʊɫieɪt
exfoliation,ɛksˌfoʊɫiˈeɪʃən
exhalation,ˌɛkshəˈɫeɪʃən
exhale,ɛksˈheɪɫ
exhaled,ɛksˈheɪɫd
exhaust,ɪɡˈzɔst
exhausted,ɪɡˈzɔstɪd
exhausting,ɪɡˈzɔstɪŋ
exhaustion,ɪɡˈzɔstʃən
exhaustive,ɪɡˈzɔstɪv
exhaustively,ɪɡˈzɑstɪvɫi
exhausts,ɪɡˈzɔsts
exhibit,ɪɡˈzɪbɪt
exhibit's,ɪɡˈzɪbəts
exhibited,ɪɡˈzɪbətəd
exhibiting,ɪɡˈzɪbɪtɪŋ
exhibition,ˌɛksəˈbɪʃən
exhibitionist,ˌɛksəˈbɪʃənɪst
exhibitionists,ˌɛksəˈbɪʃənɪsts
exhibitions,ˌɛksəˈbɪʃənz
exhibitor,ɪɡˈzɪbətɝ
exhibitors,ɪɡˈzɪbətɝz
exhibits,ɪɡˈzɪbəts
exhilarate,ɪɡˈzɪɫɝˌeɪt
exhilarated,ɪɡˈzɪɫɝˌeɪtɪd
exhilarating,ɪɡˈzɪɫɝˌeɪtɪŋ
exhilaration,ɪɡˌzɪɫɝˈeɪʃən
exhort,ɪɡˈzɔɹt
exhortation,ˌɛɡˌzɔɹˈteɪʃən
exhortations,ˌɛɡˌzɔɹˈteɪʃənz
exhorted,ɪɡˈzɔɹtɪd
exhorting,ɪɡˈzɔɹtɪŋ
exhorts,ɪɡˈzɔɹts
exhumation,ɛksˌhjuˈmeɪʃən
exhume,ɛksˈhjum
exhumed,ɛksˈhjumd
exhumes,ɛksˈhjumz
exide,ɛkˌsaɪd
exigencies,ˌɛkˈsɪdʒənsiz
exigency,ˌɛkˈsɪdʒənsi
exigent,ɛksɪdʒənt
exigents,ɛksɪdʒənts
exile,ɛɡˌzaɪɫ
exile,ɛkˌsaɪɫ
exiled,ɛɡˌzaɪɫd
exiled,ɛkˌsaɪɫd
exiles,ɛɡˌzaɪɫz
exiles,ɛkˌsaɪɫz
exim,ɛksɪm
exim's,ɛksɪmz
exist,ɪɡˈzɪst
existed,ɪɡˈzɪstəd
existence,ɛɡˈzɪstəns
existence,ɪɡˈzɪstəns
existent,ɛɡˈzɪstənt
existential,ˌɛɡˌzɪsˈtɛnʃəɫ
existing,ɪɡˈzɪstɪŋ
exists,ɪɡˈzɪsts
exit,ɛɡzɪt
exit,ɛksət
exited,ɛɡzətɪd
exiting,ɛɡzɪtɪŋ
exits,ɛɡzɪts
exits,ɛksəts
exler,ɛksɫɝ
exley,ɛksɫi
exline,ɛksɫaɪn
exner,ɛksnɝ
exocet,ɛksoʊˌsɛt
exodus,ɛksədəs
exogenous,ˌɛkˈsoʊdʒənəs
exon,ˌɛkˈsɔn
exonerate,ɪɡˈzɑnɝˌeɪt
exonerated,ɪɡˈzɑnɝˌeɪtɪd
exonerates,ɪɡˈzɑnɝˌeɪts
exonerating,ɪɡˈzɑnɝˌeɪtɪŋ
exoneration,ɪɡzɑnɝˈeɪʃən
exorbitant,ɪɡˈzɔɹbɪtənt
exorcism,ɛksɝˌsɪzəm
exorcisms,ɛksɝˌsɪzəmz
exorcist,ɛksɝsəst
exorcists,ɛksɝsɪsts
exoskeleton,ˌɛksoʊˈskɛɫətən
exothermic,ˌɛksoʊˈθɝmɪk
exotic,ɪɡˈzɑtɪk
exotics,ɛɡˈzɑtɪks
exovir,ˌɛksoʊˈvɪɹ
expand,ɪkˈspænd
expandable,ɪkˈspændəbəɫ
expanded,ɪkˈspændəd
expanded,ɪkˈspændɪd
expanding,ɪkˈspændɪŋ
expands,ɪkˈspændz
expanse,ɪkˈspæns
expanses,ɪkˈspænsɪz
expansion,ɪkˈspænʃən
expansion,ɪkˈspæntʃən
expansion's,ɪkˈspænʃənz
expansion's,ɪkˈspæntʃənz
expansionary,ɪkˈspænʃəˌnɛɹi
expansionary,ɪkˈspæntʃəˌnɛɹi
expansionism,ɪkˈspænʃəˌnɪzəm
expansionism,ɪkˈspæntʃəˌnɪzəm
expansionist,ɪkˈspænʃənɪst
expansionist,ɪkˈspæntʃənɪst
expansions,ɪkˈspænʃənz
expansions,ɪkˈspæntʃənz
expansive,ɪkˈspænsɪv
expatriate,ɛkˈspeɪtɹiˌeɪt
expatriate,ɛkˈspeɪtɹiət
expatriates,ɛkˈspeɪtɹiˌeɪts
expatriates,ɛkˈspeɪtɹiəts
expatriation,ɛkˌspeɪtɹiˈeɪʃən
expect,ɪkˈspɛkt
expectancies,ɪkˈspɛktənsiz
expectancy,ɪkˈspɛktənsi
expectant,ɪkˈspɛktənt
expectation,ˌɛkspɛkˈteɪʃən
expectations,ˌɛkspɛkˈteɪʃənz
expected,ɪkˈspɛktəd
expected,ɪkˈspɛktɪd
expecting,ɪkˈspɛktɪŋ
expectorant,ɪkˈspɛktɝənt
expects,ɪkˈspɛks
expects,ɪkˈspɛkts
expedia,ɛkˈspidiə
expedience,ɪkˈspidiəns
expediency,ɪkˈspidiənsi
expedient,ɪkˈspidiənt
expedite,ɛkspɪˌdaɪt
expedited,ɛkspɪˌdaɪtɪd
expediting,ɛkspəˌdaɪtɪŋ
expedition,ˌɛkspəˈdɪʃən
expeditionary,ˌɛkspəˈdɪʃəˌnɛɹi
expeditions,ˌɛkspəˈdɪʃənz
expeditious,ˌɛkspəˈdɪʃəs
expeditiously,ˌɛkspəˈdɪʃəsɫi
expel,ɪkˈspɛɫ
expelled,ɪkˈspɛɫd
expelling,ɪkˈspɛɫɪŋ
expend,ɪkˈspɛnd
expendable,ɪkˈspɛndəbəɫ
expended,ɪkˈspɛndɪd
expending,ˌɛkˈspɛndɪŋ
expenditure,ɪkˈspɛndətʃɝ
expenditure,ɪkˈspɛndɪtʃɝ
expenditures,ɪkˈspɛndətʃɝz
expenditures,ɪkˈspɛndɪtʃɝz
expense,ɪkˈspɛns
expenses,ɪkˈspɛnsəz
expenses,ɪkˈspɛnsɪz
expensing,ɪkˈspɛnsɪŋ
expensive,ɪkˈspɛnsɪv
expensively,ˌɛkˈspɛnsɪvɫi
experience,ɪkˈspɪɹiəns
experienced,ɪkˈspɪɹiənst
experiences,ɪkˈspɪɹiənsɪz
experiencing,ɪkˈspɪɹiənsɪŋ
experiential,ɛkˌspɛɹiˈɛnʃəɫ
experiment,ɪkˈspɛɹəmənt
experiment's,ɪkˈspɛɹəmənts
experimental,ɪkˌspɛɹɪˈmɛntəɫ
experimentalist,ɪkˌspɛɹəˈmɛntəɫɪst
experimentally,ɪkˌspɛɹəˈmɛntəɫi
experimentation,ɪkˌspɛɹəmənˈteɪʃən
experimented,ɪkˈspɛɹəməntəd
experimenter,ɪkˈspɛɹəˌmɛntɝ
experimenters,ɪkˈspɛɹəˌmɛntɝz
experimenting,ɛkˈspɛɹəˌmɛntɪŋ
experiments,ɪkˈspɛɹəmənts
expert,ɛkspɝt
expert's,ɛkspɝts
expertise,ˌɛkspɝˈtiz
expertly,ɛkspɝtɫi
experts,ɛkspɝts
experts',ɛkspɝts
expiate,ɛkspiˌeɪt
expiration,ˌɛkspɝˈeɪʃən
expirations,ˌɛkspɝˈeɪʃənz
expiratory,ɪkˈspaɪɹəˌtɔɹi
expire,ɪkˈspaɪɹ
expired,ɪkˈspaɪɹd
expires,ɪkˈspaɪɝz
expiring,ɪkˈspaɪɹɪŋ
expiry,ˌɛkˈspaɪɹi
explain,ɪksˈpɫeɪn
explainable,ɪksˈpɫeɪnəbəɫ
explained,ɪksˈpɫeɪnd
explaining,ɪksˈpɫeɪnɪŋ
explains,ɪksˈpɫeɪnz
explanation,ˌɛkspɫəˈneɪʃən
explanations,ˌɛkspɫəˈneɪʃənz
explanatory,ɪksˈpɫænəˌtɔɹi
expletive,ɛkspɫətɪv
expletives,ɛkspɫətɪvz
explicable,ɛksˈpɫɪkəbəɫ
explicate,ɛkspɫəˌkeɪt
explication,ˌɛkspɫəˈkeɪʃən
explicit,ɪksˈpɫɪsət
explicite,ɪksˈpɫɪsət
explicitly,ɪksˈpɫɪsətɫi
explode,ɪksˈpɫoʊd
exploded,ɪksˈpɫoʊdəd
exploded,ɪksˈpɫoʊdɪd
explodes,ɪksˈpɫoʊdz
exploding,ɪksˈpɫoʊdɪŋ
exploit,ɛksˌpɫɔɪt
exploit,ˌɛksˈpɫɔɪt
exploitation,ˌɛksˌpɫɔɪˈteɪʃən
exploitative,ˌɛksˈpɫɔɪtətɪv
exploited,ɛksˌpɫɔɪtəd
exploited,ɪksˈpɫɔɪtəd
exploiting,ɛksˌpɫɔɪtɪŋ
exploiting,ɪksˈpɫɔɪtɪŋ
exploitive,ɛksˈpɫɔɪtɪv
exploitive,ɪksˈpɫɔɪtɪv
exploits,ɛksˌpɫɔɪts
exploration,ˌɛkspɫɝˈeɪʃən
