aah	ɑ
dove	dʌv
dove	doʊv
Dove	dʌv
dovekie	ˈdʌv.ki
doven	ˈdɑ.vən
Dover	ˈdoʊ.vəɹ
dovetailed	ˈdʌv.ˌteɪld
dovetail	ˈdʌv.ˌteɪl
dowable	ˈdaʊ.ə.bəl
dowager	ˈdaʊ.əd.ʒəɹ
dowdy	ˈdaʊ.di
dowel	ˈdaʊ.əl
dower	ˈdaʊ.əɹ
dowery	ˈdaʊ.ə.ɹi
dowery	ˈdaʊ.ɹi
dow	daʊ
dow	doʊ
Dow	daʊ
dowie	ˈdaʊ.i
dowie	ˈdoʊ.i
dowitcher	ˈdaʊ.ɪt.ʃəɹ
downbeat	ˈdaʊn.ˌbit
down-bow	ˈdaʊn.ˌboʊ
downburst	ˈdaʊn.ˌbɜɹst
downcast	ˈdaʊn.ˌkæst
downcast	ˈdaʊn.ˌkɑst
downcome	ˈdaʊn.ˌkʌm
downcourt	ˈdaʊn.ˈkɔɹt
downcourt	ˈdaʊn.ˈkoʊɹt
downdraft	ˈdaʊn.ˌdɹæft
downdraft	ˈdaʊn.ˌdɹɑft
downer	ˈdaʊ.nəɹ
Downey	ˈdaʊ.ni
downfall	ˈdaʊn.ˌfɔl
downfield	ˈdaʊn.ˈfild
downgrade	ˈdaʊn.ˌgɹeɪd
downhaul	ˈdaʊn.ˌhɔl
downhearted	ˈdaʊn.ˈhɑɹ.tɪd
downhiller	ˈdaʊn.ˈhɪ.ləɹ
downhill	ˈdaʊn.ˈhɪl
downhill	ˈdaʊn.ˌhɪl
down	daʊn
Down	daʊn
Downing	ˈdaʊ.nɪŋ
downlight	ˈdaʊn.ˌlaɪt
downlink	ˈdaʊn.ˌlɪŋk
download	ˈdaʊn.ˌloʊd
downpipe	ˈdaʊn.ˌpaɪp
downplay	ˈdaʊn.ˌpleɪ
downpour	ˈdaʊn.ˌpɔɹ
downpour	ˈdaʊn.ˌpoʊɹ
downrange	ˈdaʊn.ˌɹeɪndʒ
downrange	ˈdaʊn.ˈɹeɪndʒ
downright	ˈdaʊn.ˌɹaɪt
downriver	ˈdaʊn.ˈɹɪ.vəɹ
downscale	ˈdaʊn.ˌskeɪl
downshift	ˈdaʊn.ˌʃɪft
downside	ˈdaʊn.ˌsaɪd
downsize	ˈdaʊn.ˌsaɪz
downslide	ˈdaʊn.ˌslaɪd
downspin	ˈdaʊn.ˌspɪn
downspout	ˈdaʊn.ˌspaʊt
downstage	ˈdaʊn.ˈsteɪdʒ
downstage	ˈdaʊn.ˌsteɪdʒ
downstairs	ˈdaʊn.ˈstɛəɹz
downstairs	ˈdaʊn.ˌstɛəɹz
downstate	ˈdaʊn.ˈsteɪt
downstate	ˈdaʊn.ˌsteɪt
downstream	ˈdaʊn.ˈstɹim
downstroke	ˈdaʊn.ˌstɹoʊk
downswing	ˈdaʊn.ˌswɪŋ
downthrow	ˈdaʊn.ˌθɹoʊ
downtick	ˈdaʊn.ˌtɪk
downtime	ˈdaʊn.ˌtaɪm
downtown	ˈdaʊn.ˈtaʊn
downtrend	ˈdaʊn.ˌtɹɛnd
downtrodden	ˈdaʊn.ˌtɹɒdn
downturn	ˈdaʊn.ˌtɜɹn
downward	ˈdaʊn.wəɹd
downwash	ˈdaʊn.ˌwɒʃ
downwash	ˈdaʊn.ˌwɔʃ
downwind	ˈdaʊn.ˈwɪnd
downy	ˈdaʊ.ni
downzone	ˈdaʊn.ˌzoʊn
dowry	ˈdaʊ.ɹi
dowsabel	ˈdaʊ.sə.ˌbɛl
dowse	daʊs
dowse	daʊz
dowser	ˈdaʊ.zəɹ
doxology	dɒk.ˈsɒ.ləd.ʒi
doxorubicin	ˌdɒk.sə.ˈɹu.bə.sɪn
doxycycline	ˌdɒk.si.ˈsaɪ.klin
doxycycline	ˌdɒk.si.ˈsaɪ.klɪn
doxy	ˈdɒk.si
doyen	dɔɪ.ˈɛn
doyen	ˈdɔɪ.ən
doyen	dwa.ˈy.ɛ̃
doyenne	dɔɪ.ˈɛn
doyenne	dwa.ˈy.ɛn
Doyle	dɔɪl
doyley	ˈdɔɪ.li
doze	doʊz
dozen	ˈdʌ.zən
dozen	ˈdoʊ.zən
dozenth	ˈdʌ.zənθ
dozer	ˈdoʊ.zəɹ
dozy	ˈdoʊ.zi
drabble	ˈdɹæ.bəl
Drabble	ˈdɹæ.bəl
drab	dɹæb
dracaena	dɹə.ˈsi.nə
drachma	ˈdɹæk.mə
drachma	ˈdɹɑk.mə
drachm	dɹæm
Draco	ˈdɹeɪ.koʊ
Draconian	dɹeɪ.ˈkoʊ.ni.ən
Draconian	dɹə.ɪ.ˈkoʊ.ni.ən
draconic	dɹeɪ.ˈkɒ.nɪk
draconic	dɹə.ɪ.ˈkɒ.nɪk
Draconic	dɹeɪ.ˈkɒ.nɪk
Draconic	dɹə.ɪ.ˈkɒ.nɪk
Dracula	ˈdɹæ.kyə.lə
draff	dɹæf
draftee	dɹæf.ˈti
draftee	dɹɑf.ˈti
draft	dɹæft
draft	dɹɑft
drafting	ˈdɹæf.tɪŋ
drafting	ˈdɹɑf.tɪŋ
draftsman	ˈdɹæft.smən
draftsman	ˈdɹɑft.smən
draftsperson	ˈdɹæfts.ˌpɜɹ.sən
draftsperson	ˈdɹɑfts.ˌpɜɹ.sən
drafty	ˈdɹæf.ti
drafty	ˈdɹɑf.ti
dragger	ˈdɹæ.gəɹ
dragging	ˈdɹæ.gɪŋ
draggle	ˈdɹæ.gəl
draggy	ˈdɹæ.gi
drag	dɹæg
dragline	ˈdɹæg.ˌlaɪn
dragnet	ˈdɹæg.ˌnɛt
Drago	ˈdɹɑ.goʊ
Drago	ˈdɹɑ.gɔ
dragoman	ˈdɹæ.gə.mən
dragonet	ˌdɹæ.gə.ˈnɛt
dragonet	ˈdɹæ.gə.nɪt
dragonfly	ˈdɹæ.gən.ˌflaɪ
dragonhead	ˈdɹæ.gən.ˌhɛd
dragon	ˈdɹæ.gən
dragoon	dɹə.ˈgun
dragrope	ˈdɹæg.ˌɹoʊp
dragster	ˈdɹæg.stəɹ
drail	dɹeɪl
drainage	ˈdɹeɪ.nɪdʒ
drain	dɹeɪn
drainpipe	ˈdɹeɪn.ˌpaɪp
drake	dɹeɪk
Drake	dɹeɪk
dramady	ˈdɹɑ.mə.di
dramady	ˈdɹæ.mə.di
drama	ˈdɹɑ.mə
drama	ˈdɹæ.mə
Dramamine	ˈdɹæ.mə.ˌmin
dramatic	dɹə.ˈmæ.tɪk
dramatics	dɹə.ˈmæ.tɪks
dramatist	ˈdɹæ.mə.tɪst
dramatist	ˈdɹɑ.mə.tɪst
dramatization	ˌdɹæ.mə.tə.ˈzeɪ.ʃən
dramatization	ˌdɹɑ.mə.tə.ˈzeɪ.ʃən
dramatize	ˈdɹæ.mə.ˌtaɪz
dramatize	ˈdɹɑ.mə.ˌtaɪz
dramaturge	ˈdɹæ.mə.ˌtɜɹdʒ
dramaturge	ˈdɹɑ.mə.ˌtɜɹdʒ
dramaturgy	ˈdɹæ.mə.ˌtɜɹd.ʒi
dramaturgy	ˈdɹɑ.mə.ˌtɜɹd.ʒi
dramedy	ˈdɹɑ.mə.di
dramedy	ˈdɹæ.mə.di
dram	dɹæm
DRAM	ˈdi.ˌɹæm
drammock	ˈdɹæ.mək
dramshop	ˈdɹæm.ˌʃɒp
drank	dɹæŋk
drape	dɹeɪp
draper	ˈdɹeɪ.pəɹ
Draper	ˈdɹeɪ.pəɹ
drapery	ˈdɹeɪ.pə.ɹi
drastic	ˈdɹæ.stɪk
drat	dɹæt
dratted	ˈdɹæ.tɪd
draught	dɹæft
draught	dɹɑft
draughtsman	ˈdɹæft.smən
draughtsman	ˈdɹɑft.smən
draughty	ˈdɹæf.ti
draughty	ˈdɹɑf.ti
drave	dɹeɪv
drawback	ˈdɹɔ.ˌbæk
drawbar	ˈdɹɔ.ˌbɑɹ
drawbore	ˈdɹɔ.ˌbɔɹ
drawbore	ˈdɹɔ.ˌboʊɹ
drawbridge	ˈdɹɔ.ˌbɹɪdʒ
drawdown	ˈdɹɔ.ˌdaʊn
drawee	dɹɔ.ˈi
drawerful	ˈdɹɔɹ.fʊl
drawer	dɹɔɹ
drawer	ˈdɹɔ.əɹ
draw	dɹɔ
drawing	ˈdɹɔɪŋ
drawknife	ˈdɹɔ.ˌnaɪf
drawl	dɹɔl
drawn	dɹɔn
drawshave	ˈdɹɔ.ˌʃeɪv
drawstring	ˈdɹɔ.ˌstɹɪŋ
drawtube	ˈdɹɔ.ˌtub
drawtube	ˈdɹɔ.ˌtyub
drayage	ˈdɹeɪ.ɪdʒ
dray	dɹeɪ
draying	ˈdɹeɪ.ɪŋ
drayman	ˈdɹeɪ.mən
Drayton	ˈdɹeɪtn
dreadful	ˈdɹɛd.fəl
dreadfully	ˈdɹɛd.fə.li
dread	dɹɛd
dreadlocks	ˈdɹɛd.ˌlɒks
dreadnought	ˈdɹɛd.ˌnɔt
dreamboat	ˈdɹim.ˌboʊt
dreamer	ˈdɹi.məɹ
dream	dɹim
dreamland	ˈdɹim.ˌlænd
dreamless	ˈdɹim.lɪs
dreamt	dɹɛmt
dreamtime	ˈdɹim.ˌtaɪm
dreamy	ˈdɹi.mi
drear	dɹɪəɹ
dreary	ˈdɹɪə.ɹi
dreck	dɹɛk
dredge	dɹɛdʒ
dredger	ˈdɹɛd.ʒəɹ
dree	dɹi
dreggy	ˈdɹɛ.gi
dreg	dɹɛg
dreidel	ˈdɹeɪdl
dreigh	dɹix
drek	dɹɛk
drench	dɹɛntʃ
Dresden	ˈdɹɛz.dən
Dresden	ˈdɹeɪs.dən
dressage	dɹə.ˈsɑʒ
dressage	dɹɛ.ˈsaʒ
dresser	ˈdɹɛ.səɹ
dress	dɹɛs
dressing	ˈdɹɛ.sɪŋ
Dressler	ˈdɹɛ.sləɹ
dressmaker	ˈdɹɛs.ˌmeɪ.kəɹ
dressy	ˈdɹɛ.si
drest	dɹɛst
drew	dɹu
Drew	dɹu
Dreyfus	ˈdɹeɪ.fəs
Dreyfus	ˈdɹaɪ.fəs
Dreyfus	dɹeɪ.ˈfüs
dribble	ˈdɹɪ.bəl
drib	dɹɪb
driblet	ˈdɹɪ.blɪt
dried	dɹaɪd
driegh	dɹix
drier	ˈdɹaɪ.əɹ
dries	dɹaɪz
driest	ˈdɹaɪ.ɪst
driftage	ˈdɹɪf.tɪdʒ
drifter	ˈdɹɪf.təɹ
drift	dɹɪft
driftpin	ˈdɹɪft.ˌpɪn
driftwood	ˈdɹɪft.ˌwʊd
drifty	ˈdɹɪf.ti
drill	dɹɪl
drilling	ˈdɹɪ.lɪŋ
drillmaster	ˈdɹɪl.ˌmæ.stəɹ
drillmaster	ˈdɹɪl.ˌmɑ.stəɹ
drily	ˈdɹaɪ.li
Drina	ˈdɹi.nə
Drina	ˈdɹi.nɑ
drinkable	ˈdɹɪŋ.kə.bəl
drinker	ˈdɹɪŋ.kəɹ
drink	dɹɪŋk
drinking	ˈdɹɪŋ.kɪŋ
drip	dɹɪp
dripless	ˈdɹɪ.plɪs
dripping	ˈdɹɪ.pɪŋ
drippy	ˈdɹɪ.pi
dripstone	ˈdɹɪp.ˌstoʊn
dript	dɹɪpt
drivability	ˌdɹaɪ.və.ˈbɪ.lɪ.ti
drive	dɹaɪv
drivel	ˈdɹɪ.vəl
driveline	ˈdɹaɪv.ˌlaɪn
driven	ˈdɹɪ.vən
driver	ˈdɹaɪ.vəɹ
driveway	ˈdɹaɪv.ˌweɪ
driving	ˈdɹaɪ.vɪŋ
drizzle	ˈdɹɪ.zəl
drogue	dɹoʊg
droid	dɹɔɪd
droit	dɹɔɪt
drollery	ˈdɹoʊ.lə.ɹi
droll	dɹoʊl
dromedary	ˈdɹɒ.mɪ.ˌdɛ.ɹi
dromedary	ˈdɹʌ.mɪ.ˌdɛ.ɹi
dromond	ˈdɹɒ.mənd
dromond	ˈdɹʌ.mənd
drone	dɹoʊn
drongo	ˈdɹɒŋ.goʊ
drool	dɹul
drooly	ˈdɹu.li
droop	dɹup
droopy	ˈdɹu.pi
drop-forge	ˈdɹɒp.ˌfɔɹdʒ
drop-forge	ˈdɹɒp.ˌfoʊɹdʒ
drop	dɹɒp
drop-kick	ˈdɹɒp.ˈkɪk
droplet	ˈdɹɒ.plɪt
droplight	ˈdɹɒp.ˌlaɪt
dropout	ˈdɹɒp.ˌaʊt
dropper	ˈdɹɒ.pəɹ
dropping	ˈdɹɒ.pɪŋ
dropsical	ˈdɹɒp.sɪ.kəl
dropsonde	ˈdɹɒp.ˌsɒnd
dropsy	ˈdɹɒp.si
dropt	dɹɒpt
dropwort	ˈdɹɒp.ˌwɜɹt
dropwort	ˈdɹɒp.ˌwɔɹt
drosera	ˈdɹɒ.sə.ɹə
droshky	ˈdɹɒʃ.ki
drosky	ˈdɹɒ.ski
drosophila	dɹoʊ.ˈsɒ.fə.lə
drosophila	dɹə.ʊ.ˈsɒ.fə.lə
dross	dɹɔs
dross	dɹɒs
drossy	ˈdɹɔ.si
drossy	ˈdɹɒ.si
drought	dɹaʊt
droughty	ˈdɹaʊ.ti
drouk	dɹuk
drouthy	ˈdɹaʊ.ði
drove	dɹoʊv
drover	ˈdɹoʊ.vəɹ
drown	dɹaʊn
drowse	dɹaʊz
drowsy	ˈdɹaʊ.zi
drubbing	ˈdɹʌ.bɪŋ
drub	dɹʌb
drudge	dɹʌdʒ
drudgery	ˈdɹʌd.ʒə.ɹi
drugget	ˈdɹʌ.gɪt
druggie	ˈdɹʌ.gi
druggist	ˈdɹʌ.gɪst
druggy	ˈdɹʌ.gi
drug	dɹʌg
Drug	dɹʊg
drugmaker	ˈdɹʌg.ˌmeɪ.kəɹ
drugstore	ˈdɹʌg.ˌstɔɹ
drugstore	ˈdɹʌg.ˌstoʊɹ
Druidess	ˈdɹu.ɪ.dɪs
Druid	ˈdɹu.ɪd
druidism	ˈdɹu.ɪ.ˌdɪ.zəm
drumbeater	ˈdɹʌm.ˌbi.təɹ
drumbeat	ˈdɹʌm.ˌbit
drumfire	ˈdɹʌm.ˌfaɪ.əɹ
drumfish	ˈdɹʌm.ˌfɪʃ
drumhead	ˈdɹʌm.ˌhɛd
drum	dɹʌm
drumlin	ˈdɹʌm.lɪn
drumly	ˈdɹʌm.li
drumly	ˈdɹʊm.li
drummer	ˈdɹʌ.məɹ
Drummond	ˈdɹʌ.mənd
drumroll	ˈdɹʌm.ˌɹoʊl
drumstick	ˈdɹʌm.ˌstɪk
drunkard	ˈdɹʌŋ.kəɹd
drunken	ˈdɹʌŋ.kən
drunk	dɹʌŋk
drupaceous	dɹu.ˈpeɪ.ʃəs
drupe	dɹup
drupelet	ˈdɹu.plɪt
druse	dɹuz
Drusilla	dɹu.ˈsɪ.lə
druthers	ˈdɹʌ.ðəɹz
dryad	ˈdɹaɪ.əd
dryad	ˈdɹaɪ.æd
dry-as-dust	ˈdɹaɪ.əz.ˈdʌst
Dryden	ˈdɹaɪdn
dryer	ˈdɹaɪ.əɹ
dry	dɹaɪ
drying	ˈdɹaɪ.ɪŋ
dryland	ˈdɹaɪ.ˌlænd
dryopithecine	ˌdɹaɪ.oʊ.ˈpɪ.θə.ˌsin
dryopithecine	ˌdɹaɪ.oʊ.ˈpɪ.θə.ˌsaɪn
dryopithecine	ˌdɹaɪ.oʊ.ˈpɪ.pə.ˈθi.sɪn
drypoint	ˈdɹaɪ.ˌpɔɪnt
drysalter	ˈdɹaɪ.ˌsɔl.təɹ
dry-wall	ˈdɹaɪ.ˌwɔl
duad	ˈdu.æd
duad	ˈdyud
dual	ˈdu.əl
dual	ˈdyul
dualism	ˈdu.ə.ˌlɪ.zəm
dualism	ˈdyu.ə.ˌlɪ.zəm
dualistic	ˌdu.ə.ˈlɪ.stɪk
dualistic	ˌdyu.ə.ˈlɪ.stɪk
duality	du.ˈæ.lɪ.ti
duality	dyu.ˈæ.lɪ.ti
dualize	ˈdu.ə.ˌlaɪz
dualize	ˈdyu.ə.ˌlaɪz
Duane	dweɪn
Duane	du.ˈeɪn
Dubai	du.ˈbaɪ
dubbing	ˈdʌ.bɪŋ
dubbin	ˈdʌ.bɪn
dub	dʌb
dubiety	du.ˈbaɪ.ɪ.ti
dubiety	dyu.ˈbaɪ.ɪ.ti
dubiosity	ˌdu.bi.ˈɒ.sɪ.ti
dubiosity	ˌdyu.bi.ˈɒ.sɪ.ti
dubious	ˈdu.bi.əs
dubious	ˈdyu.bi.əs
dubitable	ˈdu.bɪ.tə.bəl
dubitable	ˈdyu.bɪ.tə.bəl
dubitation	ˌdu.bɪ.ˈteɪ.ʃən
dubitation	ˌdyu.bɪ.ˈteɪ.ʃən
Dublin	ˈdʌ.blɪn
dubnium	ˈdub.ni.əm
dubnium	ˈdʌb.ni.əm
Dubois	düˈbwɑ
Dubonnet	ˌdu.bə.ˈneɪ
Dubonnet	ˌdyu.bə.ˈneɪ
Dubrovnik	ˈdu.bɹɔv.nɪk
Dubuque	də.ˈbyuk
ducal	ˈdu.kəl
ducal	ˈdyu.kəl
ducally	ˈdu.kə.li
ducally	ˈdyu.kə.li
ducat	ˈdʌ.kət
duce	ˈdut.ʃeɪ
duce	ˈdut.ʃɛ
duchess	ˈdʌt.ʃɪs
duc	dük
duchy	ˈdʌt.ʃi
duckbill	ˈdʌk.ˌbɪl
duckboard	ˈdʌk.ˌbɔɹd
duckboard	ˈdʌk.ˌboʊɹd
ducker	ˈdʌ.kəɹ
duck	dʌk
duckie	ˈdʌ.ki
duckling	ˈdʌ.klɪŋ
duckpin	ˈdʌk.ˌpɪn
ducktail	ˈdʌk.ˌteɪl
duck-walk	ˈdʌk.ˌwɔk
duckweed	ˈdʌk.ˌwid
ducky	ˈdʌ.ki
duct	dʌkt
ductile	ˈdʌktl
ductile	ˈdʌk.tɪl
ducting	ˈdʌk.tɪŋ
ductule	ˈdʌk.tul
ductule	ˈdʌk.tyul
ductwork	ˈdʌkt.ˌwɜɹk
duddy	ˈdʌ.di
dudeen	du.ˈdin
dude	dud
dude	dyud
dudgeon	ˈdʌd.ʒən
dud	dʌd
dudish	ˈdu.dɪʃ
dudish	ˈdyu.dɪʃ
Dudley	ˈdʌd.li
duds	dʌdz
duecento	ˌdu.ə.ˈtʃɛn.toʊ
duecento	ˌdyu.ə.ˈtʃɛn.toʊ
duecento	ˌdu.ɛ.ˈtʃɛn.tɔ
due	du
due	dyu
duel	ˈdu.əl
duel	ˈdyul
duelist	ˈdu.ə.lɪst
duelist	ˈdyu.ə.lɪst
duello	du.ˈɛ.loʊ
duello	dyu.ˈɛ.loʊ
duello	du.ˈɛl.lɔ
duende	ˈdwɛn.dɛ
duende	du.ˈɛn.deɪ
duenna	du.ˈɛ.nə
duenna	dyu.ˈɛ.nə
duet	du.ˈɛt
duet	dyu.ˈɛt
duetting	du.ˈɛ.tɪŋ
duetting	dyu.ˈɛ.tɪŋ
duffel	ˈdʌ.fəl
duffer	ˈdʌ.fəɹ
duff	dʌf
Duffy	ˈdʌ.fi
dufus	ˈdu.fəs
dug	dʌg
dugong	ˈdu.gɒŋ
dugong	ˈdu.gɔŋ
dugout	ˈdʌg.ˌaʊt
duh	dʌ
du	du
du	dyu
du	dü
duiker	ˈdaɪ.kəɹ
duit	dɔɪt
duit	daɪt
dukedom	ˈduk.dəm
dukedom	ˈdyuk.dəm
duke	duk
duke	dyuk
Duke	duk
Duke	dyuk
dulcet	ˈdʌl.sɪt
dulciana	ˌdʌl.si.ˈæ.nə
dulciana	ˌdʌl.si.ˈɑ.nə
dulcify	ˈdʌl.sə.ˌfaɪ
dulcimer	ˈdʌl.sə.məɹ
dulcinea	dʌl.ˈsɪ.ni.ə
dulcinea	ˌdʌl.sə.ˈni.ə
dulia	du.ˈlaɪ.ə
dulia	dyu.ˈlaɪ.ə
dullard	ˈdʌ.ləɹd
Dulles	ˈdʌ.ləs
dull	dʌl
dullish	ˈdʌ.lɪʃ
dullsville	ˈdʌlz.vɪl
dulse	dʌls
Duluth	də.ˈluθ
Duluth	düˈlüt
duly	ˈdu.li
duly	ˈdyu.li
duma	ˈdu.mə
Dumas	düˈmɑ
Dumas	du.ˈmɑ
Dumas	dyu.ˈmɑ
Dumas	ˈdu.məs
Dumas	ˈdyu.məs
dumb-ass	ˈdʌm.ˌæs
dumbbell	ˈdʌm.ˌbɛl
dumbfound	dʌm.ˈfaʊnd
dumbfound	ˈdʌm.ˌfaʊnd
dumbhead	ˈdʌm.ˌhɛd
dumb	dʌm
dumbo	ˈdʌm.boʊ
dumbstruck	ˈdʌm.ˌstɹʌk
dumbwaiter	ˈdʌm.ˌweɪ.təɹ
dum-dum	ˈdʌm.ˌdʌm
dumdum	ˈdʌm.ˌdʌm
dumfound	dʌm.ˈfaʊnd
dumfound	ˈdʌm.ˌfaʊnd
dumka	ˈdʊm.kə
dummkopf	ˈdʊm.ˌkɔf
dummkopf	ˈdʊm.ˌkɔpf
dummkopf	ˈdʌm.ˌkɔf
dummy	ˈdʌ.mi
Dumont	ˈdu.mɒnt
Dumont	ˈdyu.mɒnt
dumortierite	du.ˈmɔɹ.ti.ə.ˌɹaɪt
dumortierite	dyu.ˈmɔɹ.ti.ə.ˌɹaɪt
dumpcart	ˈdʌmp.ˌkɑɹt
dump	dʌmp
dumpish	ˈdʌm.pɪʃ
dumpling	ˈdʌm.plɪŋ
dumps	dʌmps
dumpsite	ˈdʌmp.ˌsaɪt
Dumpster	ˈdʌmp.stəɹ
dumpy	ˈdʌm.pi
Dunbar	ˈdʌn.bɑɹ
Dunbar	dʌn.ˈbɑɹ
Duncan	ˈdʌŋ.kən
dunce	dʌns
Dundee	dʌn.ˈdi
Dundee	ˈdʌn.di
dunderhead	ˈdʌn.dəɹ.ˌhɛd
dundrearies	dʌn.ˈdɹɪə.ɹiz
dune	dun
dune	dyun
duneland	ˈdun.ˌlænd
duneland	ˈdyun.ˌlænd
dungaree	ˌdʌŋ.gə.ˈɹi
dungeon	ˈdʌnd.ʒən
dunghill	ˈdʌŋ.ˌhɪl
dung	dʌŋ
Dunham	ˈdʌ.nəm
dun	dʌn
dunite	ˈdu.naɪt
dunite	ˈdʌ.naɪt
Dunker	ˈdʌŋ.kəɹ
dunk	dʌŋk
dunking	ˈdʌŋ.kɪŋ
Dunkirk	ˈdʌn.kɜɹk
Dunlap	ˈdʌn.læp
dunlin	ˈdʌn.lɪn
dunnage	ˈdʌ.nɪdʒ
Dunne	dʌn
dunnite	ˈdʌ.naɪt
dunno	də.ˈnoʊ
dunt	dʌnt
dunt	dʊnt
duodecillion	ˌdu.oʊ.dɪ.ˈsɪ.lyən
duodecillion	ˌdyu.oʊ.dɪ.ˈsɪ.lyən
duodecimal	ˌdu.ə.ˈdɛ.sə.məl
duodecimal	ˌdyu.ə.ˈdɛ.sə.məl
duodecimo	ˌdu.ə.ˈdɛ.sə.ˌmoʊ
duodecimo	ˌdyu.ə.ˈdɛ.sə.ˌmoʊ
duodenal	ˌdu.ə.ˈdinl
duodenal	ˌdyu.ə.ˈdinl
duodenal	du.ˈɒd.nəl
duodenal	dyu.ˈɒd.nəl
duodenum	ˌdu.ə.ˈdi.nəm
duodenum	ˌdyu.ə.ˈdi.nəm
duodenum	du.ˈɒd.nəm
duodenum	dyu.ˈɒd.nəm
duo	ˈdu.oʊ
duo	ˈdyu.oʊ
duologue	ˈdu.ə.ˌlɔg
duologue	ˈdu.ə.ˌlɒg
duologue	ˈdyu.ə.ˌlɔg
duomo	ˈdwoʊ.moʊ
duopoly	du.ˈɒ.pə.li
duopoly	dyu.ˈɒ.pə.li
duopsony	du.ˈɒp.sə.ni
duopsony	dyu.ˈɒp.sə.ni
duotone	ˈdu.ə.ˌtoʊn
duotone	ˈdyu.ə.ˌtoʊn
dupe	dup
dupe	dyup
dupery	ˈdu.pə.ɹi
dupery	ˈdyu.pə.ɹi
dup	dʌp
duple	ˈdu.pəl
duple	ˈdyu.pəl
duplexer	ˈdu.plɛk.səɹ
duplexer	ˈdyu.plɛk.səɹ
duplex	ˈdu.plɛks
duplex	ˈdyu.plɛks
duplicate	ˈdu.plɪ.kɪt
duplicate	ˈdyu.plɪ.kɪt
duplicate	ˈdu.plɪ.ˌkeɪt
duplicate	ˈdyu.plɪ.ˌkeɪt
duplication	ˌdu.plɪ.ˈkeɪ.ʃən
duplication	ˌdyu.plɪ.ˈkeɪ.ʃən
duplicator	ˈdu.plɪ.ˌkeɪ.təɹ
duplicator	ˈdyu.plɪ.ˌkeɪ.təɹ
duplicitous	du.ˈplɪ.sɪ.təs
duplicitous	dyu.ˈplɪ.sɪ.təs
duplicity	du.ˈplɪ.sɪ.ti
duplicity	dyu.ˈplɪ.sɪ.ti
DuPont	du.ˈpɒnt
DuPont	dyu.ˈpɒnt
DuPont	ˈdu.pɒnt
DuPont	ˈdyu.pɒnt
DuPont	düˈpɔ̃
durable	ˈdʊ.ə.ɹə.bəl
durable	ˈdyʊə.ɹə.bəl
dura	ˈdʊ.ə.ɹə
dura	ˈdyʊə.ɹə
dural	ˈdʊ.ə.ɹəl
dural	ˈdyʊə.ɹəl
duralumin	dʊ.ˈɹæ.lyə.mɪn
duralumin	dyʊ.ˈɹæ.lyə.mɪn
duramen	dʊ.ˈɹeɪ.mɪn
duramen	dyʊ.ˈɹeɪ.mɪn
durance	ˈdʊ.ə.ɹəns
durance	ˈdyʊə.ɹəns
Durand	də.ˈɹænd
Durango	də.ˈɹæŋ.goʊ
Durango	du.ˈɹɑŋ.gɔ
Duran	dʊ.ˈɹæn
Duran	du.ˈɹɑn
Durant	də.ˈɹænt
duration	dʊ.ˈɹeɪ.ʃən
duration	dyʊ.ˈɹeɪ.ʃən
durative	ˈdʊ.ə.ɹə.tɪv
durative	ˈdyʊə.ɹə.tɪv
durbar	ˈdɜɹ.bɑɹ
dure	dʊ.əɹ
dure	dyʊəɹ
duress	dʊ.ˈɹɛs
duress	dyʊ.ˈɹɛs
duress	ˈdʊ.ə.ɹɪs
duress	ˈdyʊə.ɹɪs
Durga	ˈdʊ.əɹ.gɑ
Durham	ˈdɜ.ɹəm
Durham	ˈdʌ.ɹəm
durian	ˈdʊ.ə.ɹi.ən
durian	ˈdʊ.əɹ.ˌɑn
during	ˈdʊ.ə.ɹɪŋ
during	ˈdyʊə.ɹɪŋ
durmast	ˈdɜɹ.ˌmæst
durmast	ˈdɜɹ.ˌmɑst
durned	dɜɹnd
durn	dɜɹn
Duroc	ˈdʊ.ə.ɹɒk
Duroc	ˈdyʊə.ɹɒk
duro	ˈdʊ.ə.ɹoʊ
duro	ˈdu.ɹɔ
durometer	dʊ.ˈɹɒ.mɪ.təɹ
durometer	dyʊ.ˈɹɒ.mɪ.təɹ
durra	ˈdʊ.ə.ɹə
durrie	ˈdɜ.ɹi
durst	dɜɹst
dusk	dʌsk
dusky	ˈdʌ.ski
dustbin	ˈdʌst.ˌbɪn
duster	ˈdʌ.stəɹ
dustheap	ˈdʌst.ˌhip
dust	dʌst
dusting	ˈdʌ.stɪŋ
Dustin	ˈdʌ.stɪn
dustman	ˈdʌst.ˌmæn
dustman	ˈdʌst.ˌmən
dustoff	ˈdʌst.ˌɔf
dustoff	ˈdʌst.ˌɒf
dustpan	ˈdʌst.ˌpæn
dustproof	ˈdʌst.ˌpɹuf
dustup	ˈdʌst.ˌʌp
dusty	ˈdʌ.sti
Dutch	dʌtʃ
Dutchman	ˈdʌtʃ.mən
duteous	ˈdu.ti.əs
duteous	ˈdyu.ti.əs
dutiable	ˈdu.ti.ə.bəl
dutiable	ˈdyu.ti.ə.bəl
dutiful	ˈdu.tə.fəl
dutiful	ˈdyu.tə.fəl
duty	ˈdu.ti
duty	ˈdyu.ti
duumvirate	du.ˈʌm.və.ɹɪt
duumvirate	dyu.ˈʌm.və.ɹɪt
duumvir	du.ˈʌm.vəɹ
